County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients,,,,,,,
Los Angeles,4/1/2020,3502,66,739,1332,335,220,,,,,,,
San Bernardino,4/1/2020,245,5,95,196,39,52,,,,,,,
Orange,4/1/2020,579,11,117,221,50,48,,,,,,,
Riverside,4/1/2020,306,11,85,182,29,47,,,,,,,
Sacramento,4/1/2020,299,8,53,138,20,33,,,,,,,
San Diego,4/1/2020,851,11,168,340,71,32,,,,,,,
Ventura,4/1/2020,154,5,22,96,5,23,,,,,,,
Santa Clara,4/1/2020,805,33,160,85,77,15,,,,,,,
Alameda,4/1/2020,287,8,52,76,27,15,,,,,,,
Fresno,4/1/2020,75,0,19,101,5,13,,,,,,,
Contra Costa,4/1/2020,267,3,31,42,12,12,,,,,,,
San Joaquin,4/1/2020,132,8,25,35,16,11,,,,,,,
San Mateo,4/1/2020,354,13,57,35,19,9,,,,,,,
Kern,4/1/2020,53,0,15,45,7,9,,,,,,,
San Francisco,4/1/2020,432,6,67,66,30,8,,,,,,,
Santa Barbara,4/1/2020,103,0,23,23,15,6,,,,,,,
Stanislaus,4/1/2020,29,0,25,39,10,6,,,,,,,
San Luis Obispo,4/1/2020,69,0,8,10,5,6,,,,,,,
Monterey,4/1/2020,47,2,13,16,4,4,,,,,,,
Imperial,4/1/2020,25,0,4,15,3,4,,,,,,,
Tulare,4/1/2020,43,1,4,12,3,4,,,,,,,
Butte,4/1/2020,6,0,5,33,2,4,,,,,,,
Yuba,4/1/2020,5,0,2,24,2,4,,,,,,,
Nevada,4/1/2020,15,0,36,54,0,4,,,,,,,
El Dorado,4/1/2020,14,0,14,8,1,3,,,,,,,
Merced,4/1/2020,7,0,3,15,0,3,,,,,,,
Humboldt,4/1/2020,19,0,1,9,0,3,,,,,,,
Placer,4/1/2020,52,2,25,28,6,2,,,,,,,
Solano,4/1/2020,57,0,14,18,5,2,,,,,,,
Marin,4/1/2020,87,1,9,19,4,2,,,,,,,
Santa Cruz,4/1/2020,44,1,2,12,2,2,,,,,,,
Sonoma,4/1/2020,60,1,5,18,1,2,,,,,,,
Kings,4/1/2020,3,0,2,6,1,2,,,,,,,
Siskiyou,4/1/2020,3,0,0,5,0,2,,,,,,,
Yolo,4/1/2020,22,1,3,3,1,1,,,,,,,
Shasta,4/1/2020,5,1,1,4,0,1,,,,,,,
Napa,4/1/2020,11,0,2,2,0,1,,,,,,,
Colusa,4/1/2020,1,0,0,1,0,1,,,,,,,
Tehama,4/1/2020,0,0,0,1,0,1,,,,,,,
San Benito,4/1/2020,14,1,2,0,2,0,,,,,,,
Madera,4/1/2020,17,1,1,3,1,0,,,,,,,
Inyo,4/1/2020,8,0,7,89,0,0,,,,,,,
Lassen,4/1/2020,0,0,0,7,0,0,,,,,,,
Del Norte,4/1/2020,0,0,0,5,0,0,,,,,,,
Amador,4/1/2020,1,0,0,3,0,0,,,,,,,
Mendocino,4/1/2020,4,0,0,2,0,0,,,,,,,
Lake,4/1/2020,0,0,0,2,0,0,,,,,,,
Calaveras,4/1/2020,3,0,0,1,0,0,,,,,,,
Mono,4/1/2020,12,1,0,0,0,0,,,,,,,
Sutter,4/1/2020,9,1,0,0,0,0,,,,,,,
Plumas,4/1/2020,1,0,0,0,0,0,,,,,,,
Tuolumne,4/1/2020,1,0,0,0,0,0,,,,,,,
Mariposa,4/1/2020,0,0,0,0,0,0,,,,,,,
Trinity,4/1/2020,0,0,0,0,0,0,,,,,,,
Unassigned,4/1/2020,50,1,,,,,,,,,,,
Glenn,4/1/2020,2,0,,,,,,,,,,,
Alpine,4/1/2020,1,0,,,,,,,,,,,
Sierra,4/1/2020,0,0,,,,,,,,,,,
Modoc,4/1/2020,,,0,1,0,0,,,,,,,
Alameda,4/2/2020,345,10,57,76,29,17,,,,, ,,
Alpine,4/2/2020,1,0,,,,,,,,,,,
Amador,4/2/2020,2,0,0,3,0,0,,,,,,, 
Butte,4/2/2020,7,0,4,26,2,2,,,,,,,
Calaveras,4/2/2020,3,0,0,1,0,0,,,,,,,
Colusa,4/2/2020,1,0,0,1,0,1,,,,,,,
Contra Costa,4/2/2020,297,3,32,38,13,10,,,,,,,
Del Norte,4/2/2020,0,0,0,3,0,0,,,,,,,
El Dorado,4/2/2020,16,0,15,12,0,6,,,,,,,
Fresno,4/2/2020,92,0,17,74,6,13,,,,,,,
Glenn,4/2/2020,2,0,0,0,0,0,,,,,,,
Humboldt,4/2/2020,23,0,1,8,0,2,,,,,,,
Imperial,4/2/2020,24,0,4,16,3,5,,,,,,,
Inyo,4/2/2020,8,0,8,102,0,1,,,,,,,
Kern,4/2/2020,74,0,27,77,12,23,,,,,,,
Kings,4/2/2020,3,0,2,6,1,1,,,,,,,
Lake,4/2/2020,0,0,0,1,0,0,,,,,,,
Lassen,4/2/2020,0,0,0,7,0,0,,,,,,,
Los Angeles,4/2/2020,4040,79,818,1270,346,193,,,,,,,
Madera,4/2/2020,25,1,1,7,1,3,,,,,,,
Marin,4/2/2020,102,1,7,16,3,1,,,,,,,
Mariposa,4/2/2020,0,0,0,1,0,0,,,,,,,
Mendocino,4/2/2020,4,0,0,1,0,0,,,,,,,
Merced,4/2/2020,9,0,4,5,0,1,,,,,,,
Mono,4/2/2020,16,1,18,2,0,0,,,,,,,
Monterey,4/2/2020,50,2,14,14,4,2,,,,,,,
Napa,4/2/2020,13,0,1,4,1,1,,,,,,,
Nevada,4/2/2020,17,0,38,58,2,1,,,,,,,
Orange,4/2/2020,640,12,129,225,67,47,,,,,,,
Placer,4/2/2020,72,2,32,15,9,0,,,,,,,
Plumas,4/2/2020,1,0,0,0,0,0,,,,,,,
Riverside,4/2/2020,438,13,136,181,45,49,,,,,,,
Sacramento,4/2/2020,322,9,71,92,24,19,,,,,,,
San Benito,4/2/2020,18,1,2,0,2,0,,,,,,,
San Bernardino,4/2/2020,335,8,126,185,50,45,,,,,,,
San Diego,4/2/2020,968,16,144,343,69,35,,,,,,,
San Francisco,4/2/2020,473,6,75,60,32,11,,,,,,,
San Joaquin,4/2/2020,148,9,42,42,20,7,,,,,,,
San Luis Obispo,4/2/2020,79,0,5,5,4,4,,,,,,,
San Mateo,4/2/2020,423,13,62,40,26,4,,,,,,,
Santa Barbara,4/2/2020,125,1,26,44,18,10,,,,,,,
Santa Clara,4/2/2020,908,38,163,101,69,19,,,,,,,
Santa Cruz,4/2/2020,49,1,4,4,3,0,,,,,,,
Shasta,4/2/2020,7,1,2,4,1,0,,,,,,,
Sierra,4/2/2020,0,0,,,,,,,,,,,
Siskiyou,4/2/2020,3,0,0,3,0,2,,,,,,,
Solano,4/2/2020,65,0,15,8,7,1,,,,,,,
Sonoma,4/2/2020,76,1,8,18,1,0,,,,,,,
Stanislaus,4/2/2020,40,0,30,43,11,7,,,,,,,
Sutter,4/2/2020,10,1,0,0,,,,,,,,,
Tehama,4/2/2020,1,0,0,1,0,1,,,,,,,
Trinity,4/2/2020,0,0,0,0,0,0,,,,,,,
Tulare,4/2/2020,64,1,4,26,4,5,,,,,,,
Tuolumne,4/2/2020,1,0,0,0,0,0,,,,,,,
Unassigned,4/2/2020,49,1,,,,,,,,,,,
Ventura,4/2/2020,178,5,27,111,7,24,,,,,,,
Yolo,4/2/2020,29,1,3,2,2,3,,,,,,,
Yuba,4/2/2020,5,0,2,25,2,6,,,,,,,
Alameda,4/3/2020,395,11,64,74,32,13,,,,,,,
Alpine,4/3/2020,1,0,,,,,,,,,,,
Amador,4/3/2020,2,0,0,0,0,0,,,,,,,
Butte,4/3/2020,8,0,3,19,2,6,,,,,,,
Calaveras,4/3/2020,3,0,0,1,0,0,,,,,,,
Colusa,4/3/2020,1,0,1,0,1,0,,,,,,,
Contra Costa,4/3/2020,327,5,31,39,15,10,,,,,,,
Del Norte,4/3/2020,1,0,0,2,0,0,,,,,,,
El Dorado,4/3/2020,16,0,15,9,0,4,,,,,,,
Fresno,4/3/2020,98,1,15,81,7,16,,,,,,,
Glenn,4/3/2020,2,0,0,0,0,0,,,,,,,
Humboldt,4/3/2020,34,0,1,7,0,0,,,,,,,
Imperial,4/3/2020,35,0,9,7,7,0,,,,,,,
Inyo,4/3/2020,10,0,8,102,1,2,,,,,,,
Kern,4/3/2020,87,1,35,73,12,16,,,,,,,
Kings,4/3/2020,3,0,0,3,1,0,,,,,,,
Lake,4/3/2020,0,0,0,2,0,1,,,,,,,
Lassen,4/3/2020,0,0,0,3,0,0,,,,,,,
Los Angeles,4/3/2020,4566,91,962,1239,422,209,,,,,,,
Madera,4/3/2020,28,2,0,5,0,1,,,,,,,
Marin,4/3/2020,106,6,6,16,3,5,,,,,,,
Mariposa,4/3/2020,0,0,0,2,0,0,,,,,,,
Mendocino,4/3/2020,4,0,0,5,0,1,,,,,,,
Merced,4/3/2020,9,0,4,5,1,1,,,,,,,
Modoc,4/3/2020,0,0,0,0,0,0,,,,,,,
Mono,4/3/2020,18,1,18,2,0,0,,,,,,,
Monterey,4/3/2020,58,2,16,18,3,1,,,,,,,
Napa,4/3/2020,13,1,1,9,0,1,,,,,,,
Nevada,4/3/2020,19,1,2,4,2,1,,,,,,,
Orange,4/3/2020,713,13,131,182,66,36,,,,,,,
Placer,4/3/2020,76,2,21,23,10,1,,,,,,,
Plumas,4/3/2020,2,0,0,0,0,0,,,,,,,
Riverside,4/3/2020,540,14,105,182,44,59,,,,,,,
Sacramento,4/3/2020,363,11,77,76,28,17,,,,,,,
San Benito,4/3/2020,22,1,2,0,2,0,,,,,,,
San Bernardino,4/3/2020,356,11,118,204,44,53,,,,,,,
San Diego,4/3/2020,1114,17,171,308,84,28,,,,,,,
San Francisco,4/3/2020,506,6,80,71,39,8,,,,,,,
San Joaquin,4/3/2020,162,10,41,38,18,8,,,,,,,
San Luis Obispo,4/3/2020,82,0,4,5,3,2,,,,,,,
San Mateo,4/3/2020,474,13,65,39,26,4,,,,,,,
Santa Barbara,4/3/2020,154,1,27,29,18,4,,,,,,,
Santa Clara,4/3/2020,983,39,164,83,71,17,,,,,,,
Santa Cruz,4/3/2020,52,1,4,8,3,0,,,,,,,
Shasta,4/3/2020,10,1,2,9,1,3,,,,,,,
Sierra,4/3/2020,0,0,,,,,,,,,,,
Siskiyou,4/3/2020,3,0,0,3,0,1,,,,,,,
Solano,4/3/2020,72,1,16,21,7,5,,,,,,,
Sonoma,4/3/2020,84,1,6,24,2,3,,,,,,,
Stanislaus,4/3/2020,48,0,28,45,12,8,,,,,,,
Sutter,4/3/2020,12,1,0,0,,,,,,,,,
Tehama,4/3/2020,1,0,0,0,0,0,,,,,,,
Trinity,4/3/2020,0,0,0,0,0,0,,,,,,,
Tulare,4/3/2020,73,3,6,15,5,2,,,,,,,
Tuolumne,4/3/2020,1,0,0,0,0,0,,,,,,,
Unassigned,4/3/2020,54,1,,,,,,,,,,,
Ventura,4/3/2020,186,6,22,116,6,28,,,,,,,
Yolo,4/3/2020,33,1,2,7,3,6,,,,,,,
Yuba,4/3/2020,6,0,2,12,2,2,,,,,,,
Alameda,2020-04-04,468,12,60.0,95.0,35.0,18.0
Alpine,2020-04-04,1,0,,,,
Amador,2020-04-04,2,0,0.0,0.0,0.0,0.0
Butte,2020-04-04,10,0,3.0,14.0,1.0,4.0
Calaveras,2020-04-04,3,0,0.0,1.0,0.0,0.0
Colusa,2020-04-04,1,0,1.0,0.0,1.0,0.0
Contra Costa,2020-04-04,382,5,30.0,47.0,12.0,7.0
Del Norte,2020-04-04,1,0,0.0,2.0,0.0,0.0
El Dorado,2020-04-04,19,0,15.0,9.0,0.0,3.0
Fresno,2020-04-04,102,1,14.0,93.0,7.0,20.0
Glenn,2020-04-04,2,0,0.0,0.0,0.0,0.0
Humboldt,2020-04-04,29,0,1.0,4.0,0.0,0.0
Imperial,2020-04-04,42,1,9.0,10.0,5.0,2.0
Inyo,2020-04-04,10,0,8.0,106.0,1.0,1.0
Kern,2020-04-04,103,2,33.0,54.0,14.0,11.0
Kings,2020-04-04,3,0,1.0,9.0,1.0,0.0
Lake,2020-04-04,0,0,0.0,4.0,0.0,1.0
Lassen,2020-04-04,0,0,0.0,0.0,0.0,0.0
Los Angeles,2020-04-04,5275,117,1007.0,1190.0,449.0,181.0
Madera,2020-04-04,27,2,0.0,4.0,0.0,0.0
Marin,2020-04-04,111,6,5.0,16.0,3.0,5.0
Mariposa,2020-04-04,0,0,0.0,2.0,0.0,0.0
Mendocino,2020-04-04,4,0,0.0,3.0,0.0,1.0
Merced,2020-04-04,11,0,5.0,14.0,1.0,1.0
Modoc,2020-04-04,0,0,0.0,0.0,0.0,0.0
Mono,2020-04-04,18,1,20.0,2.0,0.0,0.0
Monterey,2020-04-04,61,2,16.0,25.0,4.0,2.0
Napa,2020-04-04,15,2,1.0,8.0,0.0,1.0
Nevada,2020-04-04,19,1,2.0,6.0,2.0,2.0
Orange,2020-04-04,781,15,143.0,213.0,70.0,45.0
Placer,2020-04-04,87,2,23.0,14.0,10.0,1.0
Plumas,2020-04-04,2,0,0.0,0.0,0.0,0.0
Riverside,2020-04-04,652,15,126.0,186.0,39.0,56.0
Sacramento,2020-04-04,393,11,69.0,76.0,25.0,18.0
San Benito,2020-04-04,22,1,2.0,3.0,2.0,0.0
San Bernardino,2020-04-04,373,13,138.0,254.0,51.0,66.0
San Diego,2020-04-04,1211,18,177.0,218.0,86.0,19.0
San Francisco,2020-04-04,537,6,80.0,65.0,37.0,7.0
San Joaquin,2020-04-04,171,10,43.0,30.0,16.0,7.0
San Luis Obispo,2020-04-04,82,0,4.0,6.0,3.0,3.0
San Mateo,2020-04-04,520,17,66.0,19.0,25.0,6.0
Santa Barbara,2020-04-04,167,1,28.0,34.0,18.0,2.0
Santa Clara,2020-04-04,1045,39,159.0,79.0,72.0,19.0
Santa Cruz,2020-04-04,56,1,4.0,6.0,3.0,0.0
Shasta,2020-04-04,11,2,2.0,10.0,4.0,0.0
Sierra,2020-04-04,0,0,,,,
Siskiyou,2020-04-04,3,0,0.0,2.0,0.0,1.0
Solano,2020-04-04,79,1,16.0,19.0,7.0,2.0
Sonoma,2020-04-04,88,1,7.0,16.0,2.0,6.0
Stanislaus,2020-04-04,51,0,30.0,45.0,12.0,9.0
Sutter,2020-04-04,14,1,0.0,0.0,,
Tehama,2020-04-04,1,0,0.0,1.0,0.0,0.0
Trinity,2020-04-04,0,0,0.0,0.0,0.0,0.0
Tulare,2020-04-04,79,4,8.0,20.0,5.0,1.0
Tuolumne,2020-04-04,1,0,0.0,1.0,0.0,1.0
Unassigned,2020-04-04,52,1,,,,
Ventura,2020-04-04,194,6,21.0,127.0,7.0,25.0
Yolo,2020-04-04,40,2,4.0,5.0,3.0,3.0
Yuba,2020-04-04,7,0,2.0,16.0,2.0,2.0
Alameda,2020-04-05,475,12,72.0,87.0,39.0,13.0
Alpine,2020-04-05,1,0,,,,
Amador,2020-04-05,2,0,0.0,0.0,0.0,0.0
Butte,2020-04-05,10,0,2.0,16.0,1.0,6.0
Calaveras,2020-04-05,3,0,0.0,0.0,0.0,0.0
Colusa,2020-04-05,1,0,1.0,0.0,1.0,0.0
Contra Costa,2020-04-05,415,6,29.0,35.0,15.0,10.0
Del Norte,2020-04-05,1,0,0.0,1.0,0.0,0.0
El Dorado,2020-04-05,19,0,16.0,6.0,0.0,3.0
Fresno,2020-04-05,102,1,16.0,81.0,8.0,15.0
Glenn,2020-04-05,2,0,0.0,0.0,0.0,0.0
Humboldt,2020-04-05,29,0,2.0,3.0,0.0,0.0
Imperial,2020-04-05,42,1,9.0,9.0,8.0,1.0
Inyo,2020-04-05,10,0,9.0,106.0,1.0,0.0
Kern,2020-04-05,109,2,23.0,27.0,12.0,4.0
Kings,2020-04-05,4,0,3.0,1.0,2.0,0.0
Lake,2020-04-05,0,0,0.0,4.0,0.0,2.0
Lassen,2020-04-05,0,0,0.0,0.0,0.0,0.0
Los Angeles,2020-04-05,5892,130,1094.0,1082.0,473.0,166.0
Madera,2020-04-05,27,2,0.0,1.0,0.0,0.0
Marin,2020-04-05,113,6,5.0,15.0,3.0,5.0
Mariposa,2020-04-05,0,0,0.0,2.0,0.0,0.0
Mendocino,2020-04-05,4,0,0.0,3.0,0.0,2.0
Merced,2020-04-05,16,0,15.0,10.0,1.0,3.0
Modoc,2020-04-05,0,0,0.0,0.0,0.0,0.0
Mono,2020-04-05,18,1,20.0,2.0,0.0,0.0
Monterey,2020-04-05,61,2,16.0,15.0,4.0,0.0
Napa,2020-04-05,15,2,1.0,8.0,0.0,1.0
Nevada,2020-04-05,19,1,2.0,4.0,2.0,1.0
Orange,2020-04-05,820,15,144.0,221.0,70.0,46.0
Placer,2020-04-05,86,3,23.0,13.0,10.0,1.0
Plumas,2020-04-05,2,0,0.0,0.0,0.0,0.0
Riverside,2020-04-05,669,17,129.0,207.0,47.0,60.0
Sacramento,2020-04-05,393,11,64.0,78.0,23.0,26.0
San Benito,2020-04-05,22,1,3.0,0.0,2.0,0.0
San Bernardino,2020-04-05,375,13,146.0,240.0,59.0,54.0
San Diego,2020-04-05,1328,19,179.0,220.0,89.0,31.0
San Francisco,2020-04-05,559,6,79.0,68.0,37.0,11.0
San Joaquin,2020-04-05,179,10,46.0,24.0,17.0,4.0
San Luis Obispo,2020-04-05,83,1,2.0,11.0,2.0,9.0
San Mateo,2020-04-05,528,19,69.0,15.0,24.0,6.0
Santa Barbara,2020-04-05,171,1,31.0,26.0,18.0,2.0
Santa Clara,2020-04-05,1052,42,166.0,69.0,68.0,18.0
Santa Cruz,2020-04-05,59,1,5.0,12.0,4.0,4.0
Shasta,2020-04-05,11,2,8.0,11.0,4.0,0.0
Sierra,2020-04-05,0,0,,,,
Siskiyou,2020-04-05,3,0,0.0,2.0,0.0,2.0
Solano,2020-04-05,78,1,15.0,17.0,6.0,24.0
Sonoma,2020-04-05,88,1,6.0,21.0,2.0,6.0
Stanislaus,2020-04-05,51,0,30.0,25.0,14.0,5.0
Sutter,2020-04-05,14,1,0.0,0.0,0.0,0.0
Tehama,2020-04-05,1,0,0.0,1.0,0.0,0.0
Trinity,2020-04-05,0,0,0.0,0.0,0.0,0.0
Tulare,2020-04-05,81,4,4.0,20.0,8.0,2.0
Tuolumne,2020-04-05,1,0,0.0,0.0,0.0,0.0
Unassigned,2020-04-05,52,1,,,,
Ventura,2020-04-05,196,6,21.0,128.0,7.0,28.0
Yolo,2020-04-05,37,2,3.0,6.0,3.0,3.0
Yuba,2020-04-05,7,0,1.0,14.0,1.0,1.0
